Location,Latitude,Longitude,Addresses,Date Published,Media Outlet,Title ,Author ,Author's Twitter ,Form of Media,International?,Media Market,Duplicated?,Direct Interview?
MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter,CategoryFilter,StringFilter,StringFilter,StringFilter,StringFilter,StringFilter,CSVFilter,CategoryFilter,CSVFilter,StringFilter,
"Oregon, US",43.8041334,-120.5542012,,1/22/2015,OPB,Oregon Water Treatment Company Wants To Turn Sewer Water Into Beer,Cassandra Profita,https://twitter.com/cprofita_opb,online ,No ,Portland ,"Time, referenced in Grist article, referenced in TakePart","Yes, Mark Jockers"
"New York, New York",40.7127753,-74.0059728,,1/23/2015,Grub Street,Enterprising Water Treatment Company Invents Way to Make Beer From Sewage,Clint Rainey,https://twitter.com/clintrainey,online,No ,New York,,
Los Angeles,34.0522342,-118.2436849,,1/27/2015,Eater,Sewage-to-Bottle Beer Movement Bubbles Up in Portland,Kat Odell,https://twitter.com/kat_odell,online,No ,USA,,
"Portland, OR",45.5230622,-122.6764815,,1/27/2015,KGW Portland ,Portland brewers to make beer with treated sewage,Keely Chalmers,https://twitter.com/KeelyChalmers,Television and written article,No ,Portland ,"Referenced in 3000 News, Water Online, KEYT.com, KRCRTV.com, WDSU.com, KSPR.com, WTAE.com,  WPBF.com, KTUU.com, KITV.com, WAPT.com, abc17news.com, wdbj.com, clickondetroit.com, kfor.com, kxan.com, wisn.com, nbcmontana.com, ktvb.com, krem.com, wgal.com, ky3, KETV.com, wfmz.com, KSBW.com, wcvb.com, wlwt.com, wmtw.com,  koco.com, kmbc.com, ktxs.com, krdo.com, wyff4.com, wcti12.com, click2houston.com, WSBT.com, myeasttex.com, koinrightnow.com, wcyb.com, kotatv.com, yourbasin.com, mycentx.com,  about 61 times total.","Yes, Mark Jockers"
Los Angeles,34.0522342,-118.2436849,,1/27/2015,UPROXX,Of Course Portland Now Wants To Make Beer Out Of Sewage Water,Aaron Pruner,https://twitter.com/AaronFlux,online,No ,USA,references OPB article from 1/22,
San Francisco,37.7749295,-122.4194155,,1/28/2015,TakePart,Don’t Call It Stinky Stout—Brewing Beer From Sewage Water Is an Idea Worth Toasting,Jason Best ,,online,No ,USA,,
"Oregon, US",43.8041334,-120.5542012,,1/28/2015,OPB - The Salt ,Why Dump Treated Wastewater When You Could Make Beer With It?,Cassandra Profita,https://twitter.com/cprofita_opb,Online,No ,Oregon,,
"Seattle, WA",47.6062095,-122.3320708,,1/28/2015,Grist,This beer is literally made from piss,Sam Bliss,https://twitter.com/theblisspoint,online,No ,USA,references OPB article from 1/22,
"Melbourne, Australia ",-37.8136276,144.9630576,,1/28/2015,Mashable,The dream of beer made from sewage water is alive in Portland,Tricia Gilbride,https://twitter.com/tricia_gilbride,online,no ,USA,reece.com (australia),
Los Angeles,34.0522342,-118.2436849,,1/31/2015,Wait Wait Don't Tell Me,PU Brew,Peter Sagal,,radio,No ,USA ,,
"Timis County, Romania",45.8138902,21.3331055,,2/2/2015,The Green Optimistic,Sewage Water Turned into Beer at US Treatment Facility,Mila Luleva,,online,No ,USA,,
"New York, New York",40.7127753,-74.0059728,,2/4/2015,Fast Coexist,Drink Up: The Newest Craft Beers May Be Made With Wastewater,Adele Peters,https://twitter.com/adele_peters,online,No ,USA,,"Yes, Mark Jockers"
NA,37.3425699,-94.618808,,2/5/2015,News Beat Social ,Sewage to Brewage: Making Beer from Recycled Water,Flash Lagoo,https://twitter.com/FlashLaGoo ,online video ,no ,World,,Yes
"Brooklyn, New York",40.6781784,-73.9441579,,2/5/2015,Munchies,Toilet Water Could Become the Secret Ingredient in Portland’s Craft Beers,Lauren Rothman,https://twitter.com/Lochina186,online,No ,USA,,
NA,37.3425699,-94.618808,,2/6/2015,Food Bev,What a load of craft: brewers want to turn sewage into artisan beer,News Desk ,,Online ,yes,World,,
"Denver, CO",39.7392358,-104.990251,,2/6/2015,Drink Tap,Sewage brewage?,Amber Wilson,,online,no ,USA,,
