DateTime,STRG2012,STRG2013,STRG2014,STRG2015,STRG2016,5yearAVG
1/1/2013,39285,38932,32878,36238,39374,37341.4
1/2/2013,39423,38045,32897,35725,38346,36887.2
1/3/2013,39364,37224,32878,34979,37484,36385.8
1/4/2013,39157,36476,32869,34417,36984,35980.6
1/5/2013,38942,35772,32851,34016,36744,35665
1/6/2013,38697,35158,32851,33876,36447,35405.8
1/7/2013,38415,34660,32869,33904,36266,35222.8
1/8/2013,38113,34389,32934,33913,36181,35106
1/9/2013,37793,34286,32998,33895,36066,35007.6
1/10/2013,37445,34202,33062,33858,35933,34900
1/11/2013,36984,34174,33422,33811,35867,34851.6
1/12/2013,36381,34137,33979,33756,36066,34863.8
1/13/2013,35829,34044,34361,33691,37532,35091.4
1/14/2013,35243,33960,34622,33598,38629,35210.4
1/15/2013,34735,33895,34782,33589,39364,35273
1/16/2013,34295,34548,34894,33654,40361,35550.4
1/17/2013,33876,34566,34979,34305,41599,35865
1/18/2013,34053,34651,35035,35668,42386,36358.6
1/19/2013,35668,34726,35073,36543,43006,37003.2
1/20/2013,37619,34791,35101,37041,43865,37683.4
1/21/2013,39837,34838,35130,37339,44432,38315.2
1/22/2013,41118,34913,35205,37523,44960,38743.8
1/23/2013,41529,34979,35261,37668,44753,38838
1/24/2013,42670,35045,35346,37764,43865,38938
1/25/2013,44277,35101,35422,37793,42467,39012
1/26/2013,44950,35252,35498,37813,40968,38896.2
1/27/2013,44691,35365,35583,37880,40113,38726.4
1/28/2013,44102,35488,35706,37948,39797,38608.2
1/29/2013,43599,35620,35838,37997,39758,38562.4
1/30/2013,43169,35782,35952,38036,39600,38507.8
1/31/2013,42589,35924,35971,38055,39383,38384.4
2/1/2013,42184,36095,36076,38094,39423,38374.4
2/2/2013,41861,36219,36181,38239,39551,38410.2
2/3/2013,41781,36381,36266,38308,39777,38502.6
2/4/2013,41801,36524,36352,38376,40332,38677
2/5/2013,41781,36658,36428,38776,40799,38888.4
2/6/2013,41811,36878,36562,40630,41118,39399.8
2/7/2013,41821,37099,36658,42884,41359,39964.2
2/8/2013,41922,37291,36782,44422,41569,40397.2
2/9/2013,42012,37474,36859,45804,41861,40802
2/10/2013,42144,37648,36964,46961,42113,41166
2/11/2013,42214,37793,37291,47470,42265,41406.6
2/12/2013,42305,37909,38278,47513,42407,41682.4
2/13/2013,42417,38016,39010,47481,42508,41886.4
2/14/2013,42559,38171,39985,47332,42752,42159.8
2/15/2013,42650,38298,41178,47120,42924,42434
2/16/2013,42772,38395,42326,46845,43016,42670.8
2/17/2013,42874,38541,44277,46697,43292,43136.2
2/18/2013,43118,38658,46308,46813,43691,43717.6
2/19/2013,43343,38756,47864,46940,44215,44223.6
2/20/2013,43609,38873,48935,47057,44805,44655.8
2/21/2013,43783,39001,49453,47131,45366,44946.8
2/22/2013,44215,39324,49659,47194,45773,45233
2/23/2013,44515,39600,49691,47247,46182,45447
2/24/2013,44887,39846,49605,47300,46550,45637.6
2/25/2013,45314,40183,49356,47332,46866,45810.2
2/26/2013,45679,40480,49065,47417,47163,45960.8
