Program,swoopy#,Latitude,Longitude,,
CBS Evening News,1,40.769262,-73.989637,,"[40.769262,-73.989637]"
CBS This Morning,2,40.7692246,-73.989217,,"[40.7692246,-73.989217]"
Fox and Friends,3,27.7263833,-82.3814467,,"[27.7263833,-82.3814467]"
ABC World News,4,40.7731855,-73.9798031,,"[40.7731855,-73.9798031]"
MSNBC Morning Joe,5,39.7791532,-74.9790727,,"[39.7791532,-74.9790727]"
MSNBC Rachel Maddow Show,6,35.9782385,-96.1193445,,"[35.9782385,-96.1193445]"
MSNBC Way Too Early,7,30.3556103,-90.9916325,,"[30.3556103,-90.9916325]"
MSNBC All in w/ Chris Hayes,8,40.7513403,-73.9787503,,"[40.7513403,-73.9787503]"
HLN Morning Express,9,33.743657,-84.386968,,"[33.743657,-84.386968]"
CNN The Lead with Jake Tapper,10,42.2136305,-85.8901572,,"[42.2136305,-85.8901572]"
Bloomberg West,11,42.833381,-78.778875,,"[42.833381,-78.778875]"
CNN International,12,29.8134821,-95.5419481,,"[29.8134821,-95.5419481]"
NBC News,13,35.1856166,-80.896833,,"[35.1856166,-80.896833]"
TWC Wake up w/ Al,14,28.3431759,-81.2943836,,"[28.3431759,-81.2943836]"
NPR Marketplace,15,34.0557228,-118.2543526,,"[34.0557228,-118.2543526]"
Guardian Sustainable Business,16,40.9473897,-90.418086,,"[40.9473897,-90.418086]"
Reuters,17,38.917631,-94.685464,,"[38.917631,-94.685464]"
Los Angeles Times,18,38.5784868,-121.4898646,,"[38.5784868,-121.4898646]"
NPR Science Desk,19,37.7238594,-122.4824782,,"[37.7238594,-122.4824782]"
World News Tonight,20,40.782,-73.6008,,"[40.782,-73.6008]"
Vox - Science,21,28.5816795,-81.1969877,,"[28.5816795,-81.1969877]"
Business Insider Science Desk ,22,37.7238594,-122.4824782,,"[37.7238594,-122.4824782]"
Al Jazeera America Science & Tech,23,37.09024,-95.712891,,"[37.09024,-95.712891]"
WBGH Gross Science,24,36.001374,-78.944689,,"[36.001374,-78.944689]"
PBS NewsHour,25,38.8407771,-77.087851,,"[38.8407771,-77.087851]"
Popular Science,26,40.7462972,-73.9824937,,"[40.7462972,-73.9824937]"
KQED Quest,27,37.0538752,-94.5317593,,"[37.0538752,-94.5317593]"
NBC Nightly News,28,41.2573788,-95.9647768,,"[41.2573788,-95.9647768]"
NBC Today Show,29,40.7589632,-73.9793374,,"[40.7589632,-73.9793374]"
"NY Times, Etc.",30,40.7560865,-73.9901118,,"[40.7560865,-73.9901118]"
Men's Journal,31,40.7605215,-73.9790381,,"[40.7605215,-73.9790381]"
ABC Good Morning America,32,40.7570621,-73.9857531,,"[40.7570621,-73.9857531]"
The Ellen Show,33,45.679426,-111.0378493,,"[45.679426,-111.0378493]"
Wired ,34,37.623036,-97.326745,,"[37.623036,-97.326745]"
ABC News,35,40.7731855,-73.9798031,,"[40.7731855,-73.9798031]"
"Wired, Men's Journal, Fortune",36,29.7267282,-95.5807021,,"[29.7267282,-95.5807021]"
Good Mythical Morning,37,34.181453,-118.3206627,,"[34.181453,-118.3206627]"
